sub,ses,block_type,block_type_num,block_num,is_passive,input,response,correct_response,value_left,value_right,value_single_house,single_house_prob_value
sub501,1,2,1,2,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],more,,,,75.0,50.0
sub501,1,2,1,2,0,[1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0],right,1.0,25.0,62.0,,
sub501,1,2,1,2,0,[0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1],right,1.0,25.0,100.0,,
sub501,1,2,1,2,0,[1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 1],left,1.0,62.0,25.0,,
sub501,1,2,1,2,0,[0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0],left,1.0,100.0,25.0,,
sub501,1,2,1,2,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,75.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37.0,50.0
sub501,1,2,1,2,0,[0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0],right,0.0,75.0,25.0,,
sub501,1,2,1,2,0,[0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0],right,1.0,75.0,100.0,,
sub501,1,2,1,2,0,[0 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1],right,1.0,0.0,25.0,,
sub501,1,2,1,2,0,[1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1],right,0.0,75.0,62.0,,
sub501,1,2,1,2,0,[0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1],right,0.0,100.0,75.0,,
sub501,1,2,1,2,0,[1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0],right,1.0,62.0,75.0,,
sub501,1,2,1,2,0,[1 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0],left,0.0,37.0,62.0,,
sub501,1,2,1,2,0,[1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0],right,1.0,25.0,75.0,,
sub501,1,2,1,2,0,[1 0 1 0 0 1 0 1 0 1 1 0 0 1 0 1],right,1.0,25.0,37.0,,
sub501,1,2,1,2,0,[0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0],right,0.0,25.0,0.0,,
sub501,1,2,1,2,0,[1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0],left,1.0,37.0,25.0,,
sub501,1,2,1,2,0,[0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1],right,1.0,25.0,75.0,,
sub501,1,2,1,2,0,[0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1],right,1.0,0.0,100.0,,
sub501,1,2,1,2,0,[1 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1],right,0.0,75.0,25.0,,
sub501,1,2,1,2,0,[0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0],left,1.0,100.0,0.0,,
sub501,1,2,1,2,0,[1 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1],left,1.0,62.0,37.0,,
sub501,1,2,1,2,1,[0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0],none,,,,25.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,25.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0],more,,,,62.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0],more,,,,100.0,50.0
sub501,1,2,1,2,0,[0 1 0 1 1 0 0 1 0 1 1 0 1 0 0 1],right,0.0,75.0,0.0,,
sub501,1,2,1,2,0,[1 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1],right,1.0,37.0,75.0,,
sub501,1,2,1,2,0,[0 1 0 1 1 0 1 0 0 1 1 0 0 1 1 0],right,1.0,0.0,75.0,,
sub501,1,2,1,2,0,[1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0],right,0.0,75.0,37.0,,
sub501,1,2,1,2,1,[0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0],none,,,,25.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0],more,,,,62.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0],more,,,,100.0,50.0
sub501,1,2,1,2,1,[0 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0],less,,,,25.0,50.0
sub501,1,3,2,3,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],more,,,,62.0,50.0
sub501,1,3,2,3,1,[0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0],less,,,,0.0,50.0
sub501,1,3,2,3,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],more,,,,25.0,50.0
sub501,1,3,2,3,1,[0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0],less,,,,75.0,50.0
sub501,1,3,2,3,0,[0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0],right,1.0,75.0,100.0,,
sub501,1,3,2,3,0,[1 0 1 0 0 1 0 1 0 1 1 0 0 1 1 0],left,0.0,25.0,37.0,,
sub501,1,3,2,3,0,[0 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0],right,0.0,100.0,75.0,,
sub501,1,3,2,3,0,[1 0 0 1 1 0 0 1 1 0 0 1 0 1 1 0],left,1.0,37.0,25.0,,
sub501,1,3,2,3,1,[0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0],less,,,,0.0,50.0
sub501,1,3,2,3,1,[0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0],more,,,,75.0,50.0
sub501,1,3,2,3,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],more,,,,25.0,50.0
sub501,1,3,2,3,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],none,,,,62.0,50.0
sub501,1,3,2,3,0,[0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1],left,1.0,100.0,25.0,,
sub501,1,3,2,3,0,[1 0 0 1 1 0 1 0 0 1 0 1 0 1 0 1],left,1.0,75.0,25.0,,
sub501,1,3,2,3,0,[1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1],left,1.0,62.0,25.0,,
sub501,1,3,2,3,0,[1 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0],left,1.0,75.0,37.0,,
sub501,1,3,2,3,0,[1 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1],right,1.0,25.0,62.0,,
sub501,1,3,2,3,0,[0 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0],left,1.0,75.0,25.0,,
sub501,1,3,2,3,0,[0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1],right,1.0,0.0,100.0,,
sub501,1,3,2,3,0,[1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1],left,0.0,25.0,75.0,,
sub501,1,3,2,3,0,[0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0],right,1.0,0.0,75.0,,
sub501,1,3,2,3,0,[0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0],right,1.0,25.0,75.0,,
sub501,1,3,2,3,0,[1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0],right,1.0,37.0,62.0,,
sub501,1,3,2,3,0,[0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1],left,0.0,25.0,100.0,,
sub501,1,3,2,3,0,[1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0],right,1.0,37.0,75.0,,
sub501,1,3,2,3,0,[0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 0],left,1.0,75.0,0.0,,
sub501,1,3,2,3,0,[0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1],left,1.0,100.0,0.0,,
sub501,1,3,2,3,0,[1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0],right,0.0,62.0,37.0,,
