sub,ses,block_type,block_type_num,block_num,is_passive,input,response,correct_response,value_left,value_right,value_single_house,single_house_prob_value
sub501,1,2,1,2,1,[1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,1,2,1,2,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0,50
sub501,1,2,1,2,1,[1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37,50
sub501,1,2,1,2,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,1,2,1,2,0,[1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0],right,,25,62,,
sub501,1,2,1,2,0,[0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1],right,,25,100,,
sub501,1,2,1,2,0,[1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 1],left,,62,25,,
sub501,1,2,1,2,0,[0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0],left,,100,25,,
sub501,1,2,1,2,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0,50
sub501,1,2,1,2,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,75,50
sub501,1,2,1,2,1,[1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,1,2,1,2,1,[1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37,50
sub501,1,2,1,2,0,[0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0],right,,75,25,,
sub501,1,2,1,2,0,[0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0],right,,75,100,,
sub501,1,2,1,2,0,[0 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1],right,,0,25,,
sub501,1,2,1,2,0,[1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1],right,,75,62,,
sub501,1,2,1,2,0,[0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1],right,,100,75,,
sub501,1,2,1,2,0,[1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0],right,,62,75,,
sub501,1,2,1,2,0,[1 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0],left,,37,62,,
sub501,1,2,1,2,0,[1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0],right,,25,75,,
sub501,1,2,1,2,0,[1 0 1 0 0 1 0 1 0 1 1 0 0 1 0 1],right,,25,37,,
